Metadata_pert_name	Metadata_gene_name	Metadata_cell_line	Metadata_agg_method	similarity_metric
AKT1-1	AKT1	ES2	median	0.44224767550363314
AKT1-2	AKT1	ES2	median	0.49423768869272194
ARID1B-1	ARID1B	ES2	median	0.6525233902986863
ARID1B-2	ARID1B	ES2	median	0.48032656305384647
ATF4-1	ATF4	ES2	median	0.6756167162100372
ATF4-2	ATF4	ES2	median	0.6201522748197289
ATP50-1	ATP50	ES2	median	0.6517656319066484
ATP50-2	ATP50	ES2	median	0.6114108010046897
AURKB-2	AURKB	ES2	median	0.5287999416930623
BCL2-1	BCL2	ES2	median	0.5236897194686118
BCL2-2	BCL2	ES2	median	0.48859764648283777
BCL2L2-1	BCL2L2	ES2	median	0.34798318304551984
BCL2L2-2	BCL2L2	ES2	median	0.4896078380996284
BCL2L2-4	BCL2L2	ES2	median	0.5587998808068058
BRAF-2	BRAF	ES2	median	0.8408353782583374
BRAF1-1	BRAF1	ES2	median	0.5290117536240373
BRCA1-1	BRCA1	ES2	median	0.6602637171900964
BRCA1-2	BRCA1	ES2	median	0.3784484257425564
BRD4-1	BRD4	ES2	median	0.7409548181778091
BRD4-2	BRD4	ES2	median	0.8432595823889002
CCND1-1	CCND1	ES2	median	0.8218189223444783
CCND1-2	CCND1	ES2	median	0.9338749057364861
CCNE1-1	CCNE1	ES2	median	0.7517343207496445
CCNE1-2	CCNE1	ES2	median	0.7314561477556734
CDK2-1	CDK2	ES2	median	0.6328226664612903
CDK2-2	CDK2	ES2	median	0.7372336351289598
CDK4-1	CDK4	ES2	median	0.8783553483659416
CDK4-2	CDK4	ES2	median	0.8623086837797945
CDK4-3	CDK4	ES2	median	0.6580328707090536
CHEK2-1	CHEK2	ES2	median	0.6187158564013459
CHEK2-2	CHEK2	ES2	median	0.5168651573735935
COX5B-1	COX5B	ES2	median	0.5158852637934794
COX5B-2	COX5B	ES2	median	0.5391658939727312
CSNK1A1-1	CSNK1A1	ES2	median	0.7060840584141814
CSNK1A1-2	CSNK1A1	ES2	median	0.36025600950567555
CTNNB1-1	CTNNB1	ES2	median	0.5968721801429591
CTNNB1-2	CTNNB1	ES2	median	0.4414370233417387
Chr2-1	Chr2	ES2	median	0.33170444533192833
Chr2-2	Chr2	ES2	median	0.3711463984570911
Chr2-3	Chr2	ES2	median	0.4311447601639602
Chr2-4	Chr2	ES2	median	0.3667658061360353
