Metadata_gene_name	Metadata_cell_line	Metadata_agg_method	similarity_metric
AKT1	ES2	median	0.5908634024934776
ARID1B	ES2	median	0.6129308070351064
ATF4	ES2	median	0.6200937239043347
ATP50	ES2	median	0.5816014125410106
AURKB	ES2	median	0.5976801899983506
BCL2	ES2	median	0.5705660528111167
BCL2L2	ES2	median	0.5775443942223724
BRAF	ES2	median	0.87155389874701
BRAF1	ES2	median	0.5849725524855599
BRCA1	ES2	median	0.6230706416071055
BRD4	ES2	median	0.794188315350163
CCND1	ES2	median	0.8489560784647863
CCNE1	ES2	median	0.7030518404415588
CDK2	ES2	median	0.6556574563482157
CDK4	ES2	median	0.8545868760088302
CHEK2	ES2	median	0.697100286663779
COX5B	ES2	median	0.4763412038775301
CSNK1A1	ES2	median	0.4939675403250944
CTNNB1	ES2	median	0.40825539402391153
Chr2	ES2	median	0.41955023624127985
DOT1L	ES2	median	0.7141861928302449
EGFR	ES2	median	0.800618944490267
EGLN1	ES2	median	0.6942868109885434
ERBB2	ES2	median	0.6718346770076329
ERBB3	ES2	median	0.5700856203857044
EZH2	ES2	median	0.6913117195122651
GLS	ES2	median	0.7297363671509275
GPX4	ES2	median	0.8956681547903249
HIF1a	ES2	median	0.5103662186266424
ITGAV	ES2	median	0.8588000277607337
JAK3	ES2	median	0.346576552378863
KIF11	ES2	median	0.7999430556767897
KRAS	ES2	median	0.6113647481778614
LacZ	ES2	median	0.5741069099165965
Luc	ES2	median	0.45930998671093987
MAPK1	ES2	median	0.8185424158201828
MCL1	ES2	median	0.6851883679416679
MTOR	ES2	median	0.7500002773774352
MYC	ES2	median	0.8602300320853763
ORC4	ES2	median	0.5482394097418868
PIK3CA	ES2	median	0.7602841128550859
POLR2D	ES2	median	0.8301405103247987
PPIB	ES2	median	0.539380048734255
PRDX1	ES2	median	0.6077118884893447
PSMA1	ES2	median	0.7755770625024978
PTK2	ES2	median	0.6832939984802078
RAC1	ES2	median	0.6719649984894759
RAF1	ES2	median	0.7253919353021233
RHOA	ES2	median	0.6678389958433416
SDHB	ES2	median	0.6201324031120263
SLC2A1	ES2	median	0.761116174919893
SLC2A2	ES2	median	0.7899350467216003
SMARCB1	ES2	median	0.5294040987756631
STAT3	ES2	median	0.582220644611801
SUZ12	ES2	median	0.556226911210983
TXN	ES2	median	0.7667227831478054
XBP	ES2	median	0.6817080780887259
YAP1	ES2	median	0.7997589868252577
AKT1	HCC44	median	0.6772801502779622
ARID1B	HCC44	median	0.6070722676563323
ATF4	HCC44	median	0.6562829917342429
ATP50	HCC44	median	0.7287722997493089
AURKB	HCC44	median	0.5940003688667163
BCL2	HCC44	median	0.6613912014099878
BCL2L2	HCC44	median	0.6155744226463801
BRAF	HCC44	median	0.6733454674975093
BRAF1	HCC44	median	0.6920735754036812
BRCA1	HCC44	median	0.618090258129609
BRD4	HCC44	median	0.7223495038854995
CCND1	HCC44	median	0.7333107784713244
CCNE1	HCC44	median	0.7536418327874638
CDK2	HCC44	median	0.6960801595238515
CDK4	HCC44	median	0.6585113352728346
CHEK2	HCC44	median	0.718884322499247
COX5B	HCC44	median	0.5190749677087363
CSNK1A1	HCC44	median	0.5749673999751039
CTNNB1	HCC44	median	0.5530776707908458
Chr2	HCC44	median	0.36756915156821623
DOT1L	HCC44	median	0.7713737664603011
EGFR	HCC44	median	0.7131508014543095
EGLN1	HCC44	median	0.7279001989408309
