perturbation	group	grit	cell_line	barcode_control	cor_method	grit_replicate_summary_method
AKT1-1	AKT1	0.7939518994236524	HCC44	cutting_control	pearson	mean
AKT1-2	AKT1	0.7758397667158599	HCC44	cutting_control	pearson	mean
ARID1B-1	ARID1B	0.4488762445390091	HCC44	cutting_control	pearson	mean
ARID1B-2	ARID1B	0.32346249006510797	HCC44	cutting_control	pearson	mean
ATF4-1	ATF4	0.21437354589631757	HCC44	cutting_control	pearson	mean
ATF4-2	ATF4	0.4731396534150412	HCC44	cutting_control	pearson	mean
ATP50-1	ATP50	0.9713710252521008	HCC44	cutting_control	pearson	mean
ATP50-2	ATP50	0.6375823634490376	HCC44	cutting_control	pearson	mean
AURKB-2	AURKB		HCC44	cutting_control	pearson	mean
BCL2-1	BCL2	0.6209306217243884	HCC44	cutting_control	pearson	mean
BCL2-2	BCL2	0.6790593471539071	HCC44	cutting_control	pearson	mean
BCL2L2-1	BCL2L2	-0.2114769655448399	HCC44	cutting_control	pearson	mean
BCL2L2-2	BCL2L2	0.15947937837739345	HCC44	cutting_control	pearson	mean
BCL2L2-4	BCL2L2	0.26534830149547595	HCC44	cutting_control	pearson	mean
BRAF-2	BRAF		HCC44	cutting_control	pearson	mean
BRAF1-1	BRAF1		HCC44	cutting_control	pearson	mean
BRCA1-1	BRCA1	0.6682376378925048	HCC44	cutting_control	pearson	mean
BRCA1-2	BRCA1	0.7044037731266015	HCC44	cutting_control	pearson	mean
BRD4-1	BRD4	3.1029357502126858	HCC44	cutting_control	pearson	mean
BRD4-2	BRD4	2.0207585585048036	HCC44	cutting_control	pearson	mean
CCND1-1	CCND1	0.6334122918227517	HCC44	cutting_control	pearson	mean
CCND1-2	CCND1	0.25655892028343	HCC44	cutting_control	pearson	mean
CCNE1-1	CCNE1	1.6764193876238964	HCC44	cutting_control	pearson	mean
CCNE1-2	CCNE1	1.2875116777316638	HCC44	cutting_control	pearson	mean
CDK2-1	CDK2	2.29515701047413	HCC44	cutting_control	pearson	mean
CDK2-2	CDK2	2.09488577896	HCC44	cutting_control	pearson	mean
CDK4-1	CDK4	0.6711965021379149	HCC44	cutting_control	pearson	mean
CDK4-2	CDK4	0.7053597955219028	HCC44	cutting_control	pearson	mean
CDK4-3	CDK4	0.3449175573103251	HCC44	cutting_control	pearson	mean
CHEK2-1	CHEK2	0.45036174051530214	HCC44	cutting_control	pearson	mean
CHEK2-2	CHEK2	0.38813411870752884	HCC44	cutting_control	pearson	mean
COX5B-1	COX5B	0.5489356348294784	HCC44	cutting_control	pearson	mean
COX5B-2	COX5B	0.1450561650687941	HCC44	cutting_control	pearson	mean
CSNK1A1-1	CSNK1A1	2.242947606383908	HCC44	cutting_control	pearson	mean
CSNK1A1-2	CSNK1A1	1.8055101002892218	HCC44	cutting_control	pearson	mean
CTNNB1-1	CTNNB1	-0.2428711121159957	HCC44	cutting_control	pearson	mean
CTNNB1-2	CTNNB1	0.06512989274753395	HCC44	cutting_control	pearson	mean
Chr2-1	Chr2	0.14055113340464556	HCC44	cutting_control	pearson	mean
Chr2-2	Chr2	0.13375083656602468	HCC44	cutting_control	pearson	mean
Chr2-3	Chr2	0.1303988044684958	HCC44	cutting_control	pearson	mean
Chr2-4	Chr2	0.035354724449145454	HCC44	cutting_control	pearson	mean
Chr2-5	Chr2	0.1710797439309892	HCC44	cutting_control	pearson	mean
Chr2-6	Chr2	0.17351495016652635	HCC44	cutting_control	pearson	mean
DOT1L-1	DOT1L	1.146611859348302	HCC44	cutting_control	pearson	mean
DOT1L-2	DOT1L	1.4420248290332691	HCC44	cutting_control	pearson	mean
EGFR-1	EGFR	0.5061598896360959	HCC44	cutting_control	pearson	mean
EGFR-2	EGFR	0.12111393348193361	HCC44	cutting_control	pearson	mean
EGLN1-8	EGLN1	1.6916637025544015	HCC44	cutting_control	pearson	mean
EGLN1-9	EGLN1	1.4706406760776882	HCC44	cutting_control	pearson	mean
EMPTY	EMPTY		HCC44	cutting_control	pearson	mean
ERBB2-1	ERBB2	0.3642500164652965	HCC44	cutting_control	pearson	mean
ERBB2-2	ERBB2	-0.06992386371556518	HCC44	cutting_control	pearson	mean
ERBB3-1	ERBB3	0.39816181283918833	HCC44	cutting_control	pearson	mean
ERBB3-2	ERBB3	0.4557001370429074	HCC44	cutting_control	pearson	mean
EZH2-1	EZH2	1.1177965458772194	HCC44	cutting_control	pearson	mean
EZH2-2	EZH2	0.7261020218634284	HCC44	cutting_control	pearson	mean
GLS-1	GLS	0.8820503164907643	HCC44	cutting_control	pearson	mean
GLS-2	GLS	0.3433040393947665	HCC44	cutting_control	pearson	mean
GPX4-1	GPX4	1.3108142708040884	HCC44	cutting_control	pearson	mean
GPX4-2	GPX4	1.1201857641824535	HCC44	cutting_control	pearson	mean
HIF1a-1	HIF1a	0.9029782524766566	HCC44	cutting_control	pearson	mean
HIF1a-2	HIF1a	0.8670077226011617	HCC44	cutting_control	pearson	mean
ITGAV-1	ITGAV	3.7755984222200962	HCC44	cutting_control	pearson	mean
ITGAV-2	ITGAV	3.899437552296839	HCC44	cutting_control	pearson	mean
JAK3-1	JAK3	0.5981411426778727	HCC44	cutting_control	pearson	mean
JAK3-2	JAK3	0.44962461575409957	HCC44	cutting_control	pearson	mean
KIF11-1	KIF11	2.4049433629311485	HCC44	cutting_control	pearson	mean
KIF11-2	KIF11	2.0392316186738473	HCC44	cutting_control	pearson	mean
KRAS-1	KRAS	1.4211460854573608	HCC44	cutting_control	pearson	mean
KRAS-2A	KRAS	1.2089577225132269	HCC44	cutting_control	pearson	mean
KRAS-2B	KRAS	0.8095459561217303	HCC44	cutting_control	pearson	mean
LacZ-2	LacZ	0.30040266115266007	HCC44	cutting_control	pearson	mean
LacZ-3	LacZ	0.40613697863280496	HCC44	cutting_control	pearson	mean
Luc-1	Luc	0.5766548145227354	HCC44	cutting_control	pearson	mean
Luc-2	Luc	0.5931328489055819	HCC44	cutting_control	pearson	mean
MAPK1-1	MAPK1	0.9785350155170376	HCC44	cutting_control	pearson	mean
MAPK1-2	MAPK1	0.9936686185700611	HCC44	cutting_control	pearson	mean
MCL1-2	MCL1	0.20390368361708486	HCC44	cutting_control	pearson	mean
MCL1-5	MCL1	0.5189857750145367	HCC44	cutting_control	pearson	mean
MTOR-1	MTOR	1.2753883347784862	HCC44	cutting_control	pearson	mean
MTOR-2	MTOR	1.4531191077086085	HCC44	cutting_control	pearson	mean
MYC-1	MYC	2.600412809073857	HCC44	cutting_control	pearson	mean
MYC-2	MYC	2.550677876705318	HCC44	cutting_control	pearson	mean
ORC4-1	ORC4	0.12825495528390174	HCC44	cutting_control	pearson	mean
ORC4-2	ORC4	-0.1331218071965705	HCC44	cutting_control	pearson	mean
PIK3CA-1	PIK3CA	0.4084363393310101	HCC44	cutting_control	pearson	mean
PIK3CA-2	PIK3CA	0.8795049145961017	HCC44	cutting_control	pearson	mean
POLR2D-1	POLR2D	2.5126187243131475	HCC44	cutting_control	pearson	mean
POLR2D-2	POLR2D	2.3575052630767006	HCC44	cutting_control	pearson	mean
PPIB-1	PPIB	0.02240909255257432	HCC44	cutting_control	pearson	mean
PPIB-2	PPIB	-0.1615728903698469	HCC44	cutting_control	pearson	mean
PRDX1-1	PRDX1	0.4164060442338459	HCC44	cutting_control	pearson	mean
PRDX1-2	PRDX1	-0.13965504719071237	HCC44	cutting_control	pearson	mean
PSMA1-1	PSMA1	1.9383761952213234	HCC44	cutting_control	pearson	mean
PSMA1-2	PSMA1	2.0753025535243066	HCC44	cutting_control	pearson	mean
PTK2-1	PTK2	2.1814492241750556	HCC44	cutting_control	pearson	mean
PTK2-2	PTK2	2.3480932622071773	HCC44	cutting_control	pearson	mean
RAC1-1	RAC1	0.901639179628299	HCC44	cutting_control	pearson	mean
RAC1-2	RAC1	0.8058417250057356	HCC44	cutting_control	pearson	mean
RAF1-1	RAF1	0.5273500203974153	HCC44	cutting_control	pearson	mean
RAF1-2	RAF1	0.7319845059946761	HCC44	cutting_control	pearson	mean
RHOA-1	RHOA	3.044648405132972	HCC44	cutting_control	pearson	mean
RHOA-2	RHOA	3.016000717645029	HCC44	cutting_control	pearson	mean
SDHB-1	SDHB	1.0612703291827188	HCC44	cutting_control	pearson	mean
SDHB-2	SDHB	0.9609351157599265	HCC44	cutting_control	pearson	mean
SLC2A1-1	SLC2A1		HCC44	cutting_control	pearson	mean
SLC2A2-2	SLC2A2		HCC44	cutting_control	pearson	mean
SMARCB1-1	SMARCB1	0.6562247762960781	HCC44	cutting_control	pearson	mean
SMARCB1-2	SMARCB1	0.8160563581530993	HCC44	cutting_control	pearson	mean
STAT3-1	STAT3	0.6311556697938274	HCC44	cutting_control	pearson	mean
STAT3-2	STAT3	0.354398748154502	HCC44	cutting_control	pearson	mean
SUZ12-1	SUZ12	1.442405819893889	HCC44	cutting_control	pearson	mean
SUZ12-2	SUZ12	1.2086161489166563	HCC44	cutting_control	pearson	mean
TXN-1	TXN	0.44847212082216004	HCC44	cutting_control	pearson	mean
TXN-2	TXN	0.493279970117003	HCC44	cutting_control	pearson	mean
XBP-1	XBP	0.7188404710195441	HCC44	cutting_control	pearson	mean
XBP-2	XBP	0.8269773098761501	HCC44	cutting_control	pearson	mean
YAP1-1	YAP1	0.45699923362824457	HCC44	cutting_control	pearson	mean
