Metadata_pert_name	mp_value	cell_line	barcode_control	num_permutations
AKT1-1	0.1	HCC44	cutting_control	10
AKT1-2	0.2	HCC44	cutting_control	10
ARID1B-1	0.2	HCC44	cutting_control	10
ARID1B-2	0.3	HCC44	cutting_control	10
ATF4-1	0.0	HCC44	cutting_control	10
ATF4-2	0.2	HCC44	cutting_control	10
ATP50-1	0.0	HCC44	cutting_control	10
ATP50-2	0.0	HCC44	cutting_control	10
AURKB-2	0.0	HCC44	cutting_control	10
BCL2-1	0.5	HCC44	cutting_control	10
BCL2-2	0.2	HCC44	cutting_control	10
BCL2L2-1	0.0	HCC44	cutting_control	10
BCL2L2-2	1.0	HCC44	cutting_control	10
BCL2L2-4	0.2	HCC44	cutting_control	10
BRAF-2	0.0	HCC44	cutting_control	10
BRAF1-1	0.0	HCC44	cutting_control	10
BRCA1-1	0.0	HCC44	cutting_control	10
BRCA1-2	0.0	HCC44	cutting_control	10
BRD4-1	0.0	HCC44	cutting_control	10
BRD4-2	0.0	HCC44	cutting_control	10
CCND1-1	0.1	HCC44	cutting_control	10
CCND1-2	0.1	HCC44	cutting_control	10
CCNE1-1	0.0	HCC44	cutting_control	10
CCNE1-2	0.0	HCC44	cutting_control	10
CDK2-1	0.0	HCC44	cutting_control	10
CDK2-2	0.0	HCC44	cutting_control	10
CDK4-1	0.0	HCC44	cutting_control	10
CDK4-2	0.0	HCC44	cutting_control	10
CDK4-3	0.3	HCC44	cutting_control	10
CHEK2-1	0.1	HCC44	cutting_control	10
CHEK2-2	0.3	HCC44	cutting_control	10
COX5B-1	0.1	HCC44	cutting_control	10
COX5B-2	0.0	HCC44	cutting_control	10
CSNK1A1-1	0.0	HCC44	cutting_control	10
CSNK1A1-2	0.0	HCC44	cutting_control	10
CTNNB1-1	0.0	HCC44	cutting_control	10
CTNNB1-2	0.1	HCC44	cutting_control	10
Chr2-1	0.1	HCC44	cutting_control	10
Chr2-2	0.8	HCC44	cutting_control	10
