DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,Female,ATCC,,,,,,CVCL_0465,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00105,2201.0,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,Female,ATCC,,,,,,CVCL_0002,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,SIDM00829,55.0,,blood,AML,M3,
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,"CACO2, CaCo-2",,Male,ATCC,,,,,,CVCL_0025,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00891,,,colorectal,colorectal_adenocarcinoma,,
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,Male,DSMZ,2.0,-3.079202027817455,Suspension,RPMI + 10% FBS,52.4,CVCL_0001,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00594,783.0,,blood,AML,M6,
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2.0,-2.4044091731814,Suspension,RPMI + 10% FBS,86.6,CVCL_2481,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00593,,,blood,AML,M6,
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,Male,DSMZ,,,,,,CVCL_1426,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64,SIDM01023,2167.0,,blood,AML,M5,
ACH-000007,LS513,LS513_LARGE_INTESTINE,,907795.0,Male,ATCC,2.0,-2.5867076230269044,Adherent,RPMI + 10% FBS,47.7,CVCL_1386,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,63,SIDM00677,569.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000008,A101D,A101D_SKIN,,910921.0,Male,ATCC,,,,,,CVCL_1057,skin,,Skin Cancer,Melanoma,56,SIDM00801,1806.0,,skin,melanoma,,
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,Male,ATCC,3.0,-4.135491417307976,Adherent,DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium,94.2,CVCL_1096,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM01233,2104.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000010,NCIH2077,NCIH2077_LUNG,NCI-H1581,,Male,Academic lab,,,,,,CVCL_5157,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000011,253J,253J_URINARY_TRACT,,,Male,KCLB,1.0,-3.180379380210886,,DMEM + 10% FBS,89,CVCL_7935,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,,urinary_tract,bladder_carcinoma,,
ACH-000012,HCC827,HCC827_LUNG,,1240146.0,Female,ATCC,3.0,-4.242997805880599,Adherent,RPMI + 10% FBS,87.3,CVCL_2063,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,SIDM01067,354.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000013,ONCODG1,ONCODG1_OVARY,,,Female,DSMZ,2.0,-5.319862199315752,,RPMI + 10% FBS,92,CVCL_1882,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00093,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000014,HS294T,HS294T_SKIN,"A101D, Hs 294.T",,Male,ATCC,2.0,-3.4849864879138264,Adherent,DMEM + 10% FBS,84.9,CVCL_0331,lymph_node,Metastasis,Skin Cancer,Melanoma,56,SIDM00800,,,skin,melanoma,,
ACH-000015,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471.0,Male,ATCC,2.0,-4.226156938435151,Mixed adherent and suspension,DMEM:F12 (1:1) + 5% FBS,47.2,CVCL_1479,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,SIDM00748,1237.0,,lung,NSCLC,NSCLC_large_cell,
ACH-000016,SLR21,SLR21_KIDNEY,,,Unknown,Academic lab,,,,,,CVCL_V607,kidney,Metastasis,Kidney Cancer,Renal Cell Carcinoma,,,,,kidney,renal_cell_carcinoma,,
ACH-000017,SKBR3,SKBR3_BREAST,,,Female,ATCC,2.0,-2.9322500616974234,Adherent,McCoy's 5A + 10% FBS,72.9,CVCL_0033,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,43,SIDM00897,,,breast,breast_carcinoma,ERneg_HER2pos,HER2_amp
ACH-000018,T24,T24_URINARY_TRACT,,724812.0,Female,ATCC,2.0,-2.945691222058075,Adherent,McCoy's 5A + 10% FBS,65.2,CVCL_0554,urinary_tract,Primary,Bladder Cancer,Carcinoma,81,SIDM01184,1455.0,,urinary_tract,bladder_carcinoma,,
ACH-000019,MCF7,MCF7_BREAST,,905946.0,Female,ATCC,2.0,-2.4936754521313858,Adherent,EMEM + 10% FBS + 0.01mg/ml Insulin (Bovine),65,CVCL_0031,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,69,SIDM00148,588.0,,breast,breast_carcinoma,ERpos_HER2neg,luminal
